id_kabkota,kab_kota,prov,total_prod,loss_multi_nonclimate_rp25,loss_multi_nonclimate_rp50,loss_multi_nonclimate_rp100,loss_multi_nonclimate_rp250,loss_multi_climate_rp25,loss_multi_climate_rp50,loss_multi_climate_rp100,loss_multi_climate_rp250,aal_nonclimate_v2,aal_climate_v2
1101,Aceh Selatan,Aceh,30288.69,,,,,,,,,,
1102,Aceh Tenggara,Aceh,69478.52,,,,,,,,,,
1103,Aceh Timur,Aceh,130151.43,,,,,,,,,,
1104,Aceh Tengah,Aceh,13757.16,,,,,,,,,,
1105,Aceh Barat,Aceh,63136.39,,,,,,,,,,
1106,Aceh Besar,Aceh,200097.22,,,,,,,,,,
1107,Pidie,Aceh,188438.42,,,,,,,,,,
1108,Aceh Utara,Aceh,323839.47,,,,,,,,,,
1109,Simeulue,Aceh,11648.15,,,,,,,,,,
1110,Aceh Singkil,Aceh,2203.58,,,,,,,,,,
1111,Bireuen,Aceh,137057.19,,,,,,,,,,
1112,Aceh Barat Daya,Aceh,68350.84,,,,,,,,,,
1113,Gayo Lues,Aceh,28634.5,,,,,,,,,,
1114,Aceh Jaya,Aceh,42784.33,,,,,,,,,,
1115,Nagan Raya,Aceh,32185.63,,,,,,,,,,
1116,Aceh Tamiang,Aceh,59902.25,,,,,,,,,,
1117,Bener Meriah,Aceh,1715.62,,,,,,,,,,
1118,Pidie Jaya,Aceh,88469.06,,,,,,,,,,
1171,Banda Aceh,Aceh,72.97,,,,,,,,,,
1172,Sabang,Aceh,0.0,,,,,,,,,,
1173,Lhokseumawe,Aceh,9899.07,,,,,,,,,,
1174,Langsa,Aceh,7101.39,,,,,,,,,,
1175,Subulussalam,Aceh,244.58,,,,,,,,,,
1201,Tapanuli Tengah,Sumatera Utara,48181.74,,,,,,,,,,
1202,Tapanuli Utara,Sumatera Utara,125645.1,,,,,,,,,,
1203,Tapanuli Selatan,Sumatera Utara,98843.26,,,,,,,,,,
1204,Nias,Sumatera Utara,35244.47,,,,,,,,,,
1205,Langkat,Sumatera Utara,115310.3,,,,,,,,,,
1206,Karo,Sumatera Utara,63451.43,,,,,,,,,,
1207,Deli Serdang,Sumatera Utara,331769.5,,,,,,,,,,
1208,Simalungun,Sumatera Utara,143008.9,,,,,,,,,,
1209,Asahan,Sumatera Utara,65692.71,,,,,,,,,,
1210,Labuhanbatu,Sumatera Utara,82642.09,,,,,,,,,,
1211,Dairi,Sumatera Utara,34934.89,,,,,,,,,,
1212,Toba,Sumatera Utara,102802.3,,,,,,,,,,
1213,Mandailing Natal,Sumatera Utara,82436.28,,,,,,,,,,
1214,Nias Selatan,Sumatera Utara,43037.79,,,,,,,,,,
1215,Pakpak Bharat,Sumatera Utara,5212.74,,,,,,,,,,
1216,Humbang Hasundutan,Sumatera Utara,65908.05,,,,,,,,,,
1217,Samosir,Sumatera Utara,38052.33,,,,,,,,,,
1218,Serdang Bedagai,Sumatera Utara,298314.7,,,,,,,,,,
1219,Batu Bara,Sumatera Utara,68430.96,,,,,,,,,,
1220,Padang Lawas Utara,Sumatera Utara,29247.18,,,,,,,,,,
1221,Padang Lawas,Sumatera Utara,27674.56,,,,,,,,,,
1222,Labuhanbatu Selatan,Sumatera Utara,403.84,,,,,,,,,,
1223,Labuhanbatu Utara,Sumatera Utara,79223.04,,,,,,,,,,
1224,Nias Utara,Sumatera Utara,39122.95,,,,,,,,,,
1225,Nias Barat,Sumatera Utara,10228.82,,,,,,,,,,
1271,Medan,Sumatera Utara,5854.91,,,,,,,,,,
1272,Pematangsiantar,Sumatera Utara,11490.47,,,,,,,,,,
1273,Sibolga,Sumatera Utara,0.0,,,,,,,,,,
1274,Tanjung Balai,Sumatera Utara,348.41,,,,,,,,,,
1275,Binjai,Sumatera Utara,6342.59,,,,,,,,,,
1276,Tebing Tinggi,Sumatera Utara,2310.46,,,,,,,,,,
1277,Padangsidimpuan,Sumatera Utara,17769.03,,,,,,,,,,
1278,Gunungsitoli,Sumatera Utara,9647.98,,,,,,,,,,
1301,Pesisir Selatan,Sumatera Barat,161638.55,,,,,,,,,,
1302,Solok,Sumatera Barat,179316.1,,,,,,,,,,
1303,Sijunjung,Sumatera Barat,53949.21,,,,,,,,,,
1304,Tanah Datar,Sumatera Barat,169881.11,,,,,,,,,,
1305,Padang Pariaman,Sumatera Barat,135072.49,,,,,,,,,,
1306,Agam,Sumatera Barat,137633.42,,,,,,,,,,
1307,Lima Puluh Kota,Sumatera Barat,118608.29,,,,,,,,,,
1308,Pasaman,Sumatera Barat,144110.46,,,,,,,,,,
1309,Kepulauan Mentawai,Sumatera Barat,1387.33,,,,,,,,,,
1310,Dharmasraya,Sumatera Barat,47554.99,,,,,,,,,,
1311,Solok Selatan,Sumatera Barat,49760.15,,,,,,,,,,
1312,Pasaman Barat,Sumatera Barat,50317.46,,,,,,,,,,
1371,Padang,Sumatera Barat,45241.87,,,,,,,,,,
1372,Solok,Sumatera Barat,13946.12,,,,,,,,,,
1373,Sawahlunto,Sumatera Barat,11600.3,,,,,,,,,,
1374,Padang Panjang,Sumatera Barat,5789.0,,,,,,,,,,
1375,Bukittinggi,Sumatera Barat,4082.69,,,,,,,,,,
1376,Payakumbuh,Sumatera Barat,27223.71,,,,,,,,,,
1377,Pariaman,Sumatera Barat,16418.94,,,,,,,,,,
1401,Kampar,Riau,11663.19,,,,,,,,,,
1402,Indragiri Hulu,Riau,3672.09,,,,,,,,,,
1403,Bengkalis,Riau,15167.82,,,,,,,,,,
1404,Indragiri Hilir,Riau,57471.26,,,,,,,,,,
1405,Pelalawan,Riau,18942.42,,,,,,,,,,
1406,Rokan Hulu,Riau,5849.07,,,,,,,,,,
1407,Rokan Hilir,Riau,34456.04,,,,,,,,,,
1408,Siak,Riau,29463.62,,,,,,,,,,
1409,Kuantan Singingi,Riau,21360.81,,,,,,,,,,
1410,Kepulauan Meranti,Riau,6134.99,,,,,,,,,,
1471,Pekanbaru,Riau,0.0,,,,,,,,,,
1472,Dumai,Riau,9375.92,,,,,,,,,,
1501,Kerinci,Jambi,87517.43,,,,,,,,,,
1502,Merangin,Jambi,23019.21,,,,,,,,,,
1503,Sarolangun,Jambi,13470.68,,,,,,,,,,
1504,Batanghari,Jambi,22383.81,,,,,,,,,,
1505,Muaro Jambi,Jambi,18599.51,,,,,,,,,,
1506,Tanjung Jabung Barat,Jambi,14339.58,,,,,,,,,,
1507,Tanjung Jabung Timur,Jambi,24562.32,,,,,,,,,,
1508,Bungo,Jambi,17110.03,,,,,,,,,,
1509,Tebo,Jambi,19561.77,,,,,,,,,,
1571,Jambi,Jambi,1298.62,,,,,,,,,,
1572,Sungai Penuh,Jambi,35880.87,,,,,,,,,,
1601,Ogan Komering Ulu,Sumatera Selatan,13784.51,,,,,,,,,,
1602,Ogan Komering Ilir,Sumatera Selatan,534586.78,,,,,,,,,,
1603,Muara Enim,Sumatera Selatan,55650.55,,,,,,,,,,
1604,Lahat,Sumatera Selatan,74549.71,,,,,,,,,,
1605,Musi Rawas,Sumatera Selatan,100005.52,,,,,,,,,,
1606,Musi Banyuasin,Sumatera Selatan,144445.74,,,,,,,,,,
1607,Banyuasin,Sumatera Selatan,897427.6,,,,,,,,,,
1608,Ogan Komering Ulu Timur,Sumatera Selatan,701509.52,,,,,,,,,,
1609,Ogan Komering Ulu Selatan,Sumatera Selatan,39203.3,,,,,,,,,,
1610,Ogan Ilir,Sumatera Selatan,104927.85,,,,,,,,,,
1611,Empat Lawang,Sumatera Selatan,39687.3,,,,,,,,,,
1612,Penukal Abab Lematang Ilir,Sumatera Selatan,22573.26,,,,,,,,,,
1613,Musi Rawas Utara,Sumatera Selatan,12304.47,,,,,,,,,,
1671,Palembang,Sumatera Selatan,11067.82,,,,,,,,,,
1672,Pagar Alam,Sumatera Selatan,16820.27,,,,,,,,,,
1673,Lubuk Linggau,Sumatera Selatan,6381.94,,,,,,,,,,
1674,Prabumulih,Sumatera Selatan,143.12,,,,,,,,,,
1701,Bengkulu Selatan,Bengkulu,50237.54,,,,,,,,,,
1702,Rejang Lebong,Bengkulu,35899.06,,,,,,,,,,
1703,Bengkulu Utara,Bengkulu,19728.24,,,,,,,,,,
1704,Kaur,Bengkulu,24207.7,,,,,,,,,,
1705,Seluma,Bengkulu,43588.0,,,,,,,,,,
