id_kabkota,kab_kota,id_prov,prov,tahun,total_prod
1101,Aceh Selatan,11,Aceh,2022,30288.69
1102,Aceh Tenggara,11,Aceh,2022,69478.52
1103,Aceh Timur,11,Aceh,2022,130151.43
1104,Aceh Tengah,11,Aceh,2022,13757.16
1105,Aceh Barat,11,Aceh,2022,63136.39
1106,Aceh Besar,11,Aceh,2022,200097.22
1107,Pidie,11,Aceh,2022,188438.42
1108,Aceh Utara,11,Aceh,2022,323839.47
1109,Simeulue,11,Aceh,2022,11648.15
1110,Aceh Singkil,11,Aceh,2022,2203.58
1111,Bireuen,11,Aceh,2022,137057.19
1112,Aceh Barat Daya,11,Aceh,2022,68350.84
1113,Gayo Lues,11,Aceh,2022,28634.5
1114,Aceh Jaya,11,Aceh,2022,42784.33
1115,Nagan Raya,11,Aceh,2022,32185.63
1116,Aceh Tamiang,11,Aceh,2022,59902.25
1117,Bener Meriah,11,Aceh,2022,1715.62
1118,Pidie Jaya,11,Aceh,2022,88469.06
1171,Banda Aceh,11,Aceh,2022,72.97
1172,Sabang,11,Aceh,2022,0
1173,Lhokseumawe,11,Aceh,2022,9899.07
1174,Langsa,11,Aceh,2022,7101.39
1175,Subulussalam,11,Aceh,2022,244.58
1201,Tapanuli Tengah,12,Sumatera Utara,2022,48181.74
1202,Tapanuli Utara,12,Sumatera Utara,2022,125645.1
1203,Tapanuli Selatan,12,Sumatera Utara,2022,98843.26
1204,Nias,12,Sumatera Utara,2022,35244.47
1205,Langkat,12,Sumatera Utara,2022,115310.3
1206,Karo,12,Sumatera Utara,2022,63451.43
1207,Deli Serdang,12,Sumatera Utara,2022,331769.5
1208,Simalungun,12,Sumatera Utara,2022,143008.9
1209,Asahan,12,Sumatera Utara,2022,65692.71
1210,Labuhan Batu,12,Sumatera Utara,2022,82642.09
1211,Dairi,12,Sumatera Utara,2022,34934.89
1212,Toba,12,Sumatera Utara,2022,102802.3
1213,Mandailing Natal,12,Sumatera Utara,2022,82436.28
1214,Nias Selatan,12,Sumatera Utara,2022,43037.79
1215,Pakpak Bharat,12,Sumatera Utara,2022,5212.74
1216,Humbang Hasundutan,12,Sumatera Utara,2022,65908.05
1217,Samosir,12,Sumatera Utara,2022,38052.33
1218,Serdang Bedagai,12,Sumatera Utara,2022,298314.7
1219,Batu Bara,12,Sumatera Utara,2022,68430.96
1220,Padang Lawas Utara,12,Sumatera Utara,2022,29247.18
1221,Padang Lawas,12,Sumatera Utara,2022,27674.56
1222,Labuhanbatu Selatan,12,Sumatera Utara,2022,403.84
1223,Labuhanbatu Utara,12,Sumatera Utara,2022,79223.04
1224,Nias Utara,12,Sumatera Utara,2022,39122.95
1225,Nias Barat,12,Sumatera Utara,2022,10228.82
1271,Medan,12,Sumatera Utara,2022,5854.91
1272,Pematangsiantar,12,Sumatera Utara,2022,11490.47
1273,Sibolga,12,Sumatera Utara,2022,0
1274,Tanjung Balai,12,Sumatera Utara,2022,348.41
1275,Binjai,12,Sumatera Utara,2022,6342.59
1276,Tebing Tinggi,12,Sumatera Utara,2022,2310.46
1277,Padangsidimpuan,12,Sumatera Utara,2022,17769.03
1278,Gunungsitoli,12,Sumatera Utara,2022,9647.98
1301,Pesisir Selatan,13,Sumatera Barat,2022,161638.55
1302,Solok,13,Sumatera Barat,2022,179316.1
1303,Sijunjung,13,Sumatera Barat,2022,53949.21
1304,Tanah Datar,13,Sumatera Barat,2022,169881.11
1305,Padang Pariaman,13,Sumatera Barat,2022,135072.49
1306,Agam,13,Sumatera Barat,2022,137633.42
1307,Lima Puluh Kota,13,Sumatera Barat,2022,118608.29
1308,Pasaman,13,Sumatera Barat,2022,144110.46
1309,Kepulauan Mentawai,13,Sumatera Barat,2022,1387.33
1310,Dharmasraya,13,Sumatera Barat,2022,47554.99
1311,Solok Selatan,13,Sumatera Barat,2022,49760.15
1312,Pasaman Barat,13,Sumatera Barat,2022,50317.46
1371,Padang,13,Sumatera Barat,2022,45241.87
1372,Solok,13,Sumatera Barat,2022,13946.12
1373,Sawahlunto,13,Sumatera Barat,2022,11600.3
1374,Padang Panjang,13,Sumatera Barat,2022,5789
1375,Bukittinggi,13,Sumatera Barat,2022,4082.69
1376,Payakumbuh,13,Sumatera Barat,2022,27223.71
1377,Pariaman,13,Sumatera Barat,2022,16418.94
1401,Kampar,14,Riau,2022,11663.19
1402,Indragiri Hulu,14,Riau,2022,3672.09
1403,Bengkalis,14,Riau,2022,15167.82
1404,Indragiri Hilir,14,Riau,2022,57471.26
1405,Pelalawan,14,Riau,2022,18942.42
1406,Rokan Hulu,14,Riau,2022,5849.07
1407,Rokan Hilir,14,Riau,2022,34456.04
1408,Siak,14,Riau,2022,29463.62
1409,Kuantan Singingi,14,Riau,2022,21360.81
1410,Kepulauan Meranti,14,Riau,2022,6134.99
1471,Pekanbaru,14,Riau,2022,0
1472,Dumai,14,Riau,2022,9375.92
1501,Kerinci,15,Jambi,2022,87517.43
1502,Merangin,15,Jambi,2022,23019.21
1503,Sarolangun,15,Jambi,2022,13470.68
1504,Batanghari,15,Jambi,2022,22383.81
1505,Muaro Jambi,15,Jambi,2022,18599.51
1506,Tanjung Jabung Barat,15,Jambi,2022,14339.58
1507,Tanjung Jabung Timur,15,Jambi,2022,24562.32
1508,Bungo,15,Jambi,2022,17110.03
1509,Tebo,15,Jambi,2022,19561.77
1571,Jambi,15,Jambi,2022,1298.62
1572,Sungai Penuh,15,Jambi,2022,35880.87
1601,Ogan Komering Ulu,16,Sumatera Selatan,2022,13784.51
1602,Ogan Komering Ilir,16,Sumatera Selatan,2022,534586.78
1603,Muara Enim,16,Sumatera Selatan,2022,55650.55
1604,Lahat,16,Sumatera Selatan,2022,74549.71
1605,Musi Rawas,16,Sumatera Selatan,2022,100005.52
1606,Musi Banyuasin,16,Sumatera Selatan,2022,144445.74
1607,Banyuasin,16,Sumatera Selatan,2022,897427.6
1608,Ogan Komering Ulu Timur,16,Sumatera Selatan,2022,701509.52
1609,Ogan Komering Ulu Selatan,16,Sumatera Selatan,2022,39203.3
1610,Ogan Ilir,16,Sumatera Selatan,2022,104927.85
1611,Empat Lawang,16,Sumatera Selatan,2022,39687.3
1612,Penukal Abab Lematang Ilir,16,Sumatera Selatan,2022,22573.26
1613,Musi Rawas Utara,16,Sumatera Selatan,2022,12304.47
1671,Palembang,16,Sumatera Selatan,2022,11067.82
1672,Pagar Alam,16,Sumatera Selatan,2022,16820.27
1673,Lubuk Linggau,16,Sumatera Selatan,2022,6381.94
1674,Prabumulih,16,Sumatera Selatan,2022,143.12
1701,Bengkulu Selatan,17,Bengkulu,2022,50237.54
1702,Rejang Lebong,17,Bengkulu,2022,35899.06
1703,Bengkulu Utara,17,Bengkulu,2022,19728.24
1704,Kaur,17,Bengkulu,2022,24207.7
1705,Seluma,17,Bengkulu,2022,43588
1706,Muko Muko,17,Bengkulu,2022,31370.91
1707,Lebong,17,Bengkulu,2022,50510.99
1708,Kepahiang,17,Bengkulu,2022,14986.45
1709,Bengkulu Tengah,17,Bengkulu,2022,5271.28
1771,Bengkulu,17,Bengkulu,2022,5809.92
1801,Lampung Selatan,18,Lampung,2022,339941.87
1802,Lampung Tengah,18,Lampung,2022,566601.47
1803,Lampung Utara,18,Lampung,2022,63452.76
1804,Lampung Barat,18,Lampung,2022,62802.09
1805,Tulang Bawang,18,Lampung,2022,268323.74
1806,Tanggamus,18,Lampung,2022,128674.92
1807,Lampung Timur,18,Lampung,2022,449294.9
1808,Way Kanan,18,Lampung,2022,100985.27
1809,Pesawaran,18,Lampung,2022,130558.89
1810,Pringsewu,18,Lampung,2022,137096.53
1811,Mesuji,18,Lampung,2022,296934.72
1812,Tulang Bawang Barat,18,Lampung,2022,50700.33
1813,Pesisir Barat,18,Lampung,2022,60772.93
1871,Bandar Lampung,18,Lampung,2022,2721.97
1872,Metro,18,Lampung,2022,29297.35
1901,Bangka,19,Kepulauan Bangka Belitung,2022,4574.6
1902,Belitung,19,Kepulauan Bangka Belitung,2022,807.06
1903,Bangka Selatan,19,Kepulauan Bangka Belitung,2022,52191.12
1904,Bangka Tengah,19,Kepulauan Bangka Belitung,2022,310.07
1905,Bangka Barat,19,Kepulauan Bangka Belitung,2022,2152.7
1906,Belitung Timur,19,Kepulauan Bangka Belitung,2022,1389.52
1971,Pangkal Pinang,19,Kepulauan Bangka Belitung,2022,0
2101,Bintan,21,Kepulauan Riau,2022,25.36
2102,Karimun,21,Kepulauan Riau,2022,0
2103,Natuna,21,Kepulauan Riau,2022,287.3
2104,Lingga,21,Kepulauan Riau,2022,118.12
2105,Kepulauan Anambas,21,Kepulauan Riau,2022,76.13
2171,Batam,21,Kepulauan Riau,2022,0
2172,Tanjung Pinang,21,Kepulauan Riau,2022,0
3101,Kepulauan Seribu,31,DKI Jakarta,2022,0
3171,Jakarta Selatan,31,DKI Jakarta,2022,0
3172,Jakarta Timur,31,DKI Jakarta,2022,187
3173,Jakarta Pusat,31,DKI Jakarta,2022,0
3174,Jakarta Barat,31,DKI Jakarta,2022,181
3175,Jakarta Utara,31,DKI Jakarta,2022,1969
3201,Bogor,32,Jawa Barat,2022,299893.8
3202,Sukabumi,32,Jawa Barat,2022,508220.48
3203,Cianjur,32,Jawa Barat,2022,617941.03
3204,Bandung,32,Jawa Barat,2022,289205.7
3205,Garut,32,Jawa Barat,2022,441316.2
3206,Tasikmalaya,32,Jawa Barat,2022,430961.73
3207,Ciamis,32,Jawa Barat,2022,305676.17
3208,Kuningan,32,Jawa Barat,2022,277583.76
3209,Cirebon,32,Jawa Barat,2022,494699.98
3210,Majalengka,32,Jawa Barat,2022,566087.34
3211,Sumedang,32,Jawa Barat,2022,298163
3212,Indramayu,32,Jawa Barat,2022,1482255.86
3213,Subang,32,Jawa Barat,2022,1038780.58
3214,Purwakarta,32,Jawa Barat,2022,188731.69
3215,Karawang,32,Jawa Barat,2022,1226880.08
3216,Bekasi,32,Jawa Barat,2022,555747.09
3217,Bandung Barat,32,Jawa Barat,2022,153648.29
3218,Pangandaran,32,Jawa Barat,2022,148670.61
3271,Bogor,32,Jawa Barat,2022,173.99
3272,Sukabumi,32,Jawa Barat,2022,13254.34
3273,Bandung,32,Jawa Barat,2022,7186.11
3274,Cirebon,32,Jawa Barat,2022,861.82
3275,Bekasi,32,Jawa Barat,2022,1868.44
3276,Depok,32,Jawa Barat,2022,72.13
3277,Cimahi,32,Jawa Barat,2022,338.03
3278,Tasikmalaya,32,Jawa Barat,2022,54233.66
3279,Banjar,32,Jawa Barat,2022,31271.18
3301,Cilacap,33,Jawa Tengah,2022,761355.92
3302,Banyumas,33,Jawa Tengah,2022,275622.59
3303,Purbalingga,33,Jawa Tengah,2022,154076.91
3304,Banjarnegara,33,Jawa Tengah,2022,109047.94
3305,Kebumen,33,Jawa Tengah,2022,424840.1
3306,Purworejo,33,Jawa Tengah,2022,279100.57
3307,Wonosobo,33,Jawa Tengah,2022,66996.75
3308,Magelang,33,Jawa Tengah,2022,169112.19
3309,Boyolali,33,Jawa Tengah,2022,293909.04
3310,Klaten,33,Jawa Tengah,2022,338083.63
3311,Sukoharjo,33,Jawa Tengah,2022,308529.08
3312,Wonogiri,33,Jawa Tengah,2022,383143.3
3313,Karanganyar,33,Jawa Tengah,2022,268582.78
3314,Sragen,33,Jawa Tengah,2022,626632.73
3315,Grobogan,33,Jawa Tengah,2022,778895.15
3316,Blora,33,Jawa Tengah,2022,481758.33
3317,Rembang,33,Jawa Tengah,2022,179211.77
